Problem,Num_Solutions,Novelty,Success_Rate,Num_Evaluated
01_1LDB,1,0.413,1.89,53
02_1ITU,2,0.308,2.20,91
03_2CGA,0,0.000,0.00,70
04_5WN9,3,0.37,8.00,100
05_5ZE9,20,0.377,59.14,93
06_6E6R,53,0.343,66.00,100
07_6E6R,14,0.298,35.29,85
08_7AD5,1,0.458,1.54,65
09_7CG5,38,0.336,63.08,65
10_7WRK,3,0.411,5.26,57
11_3TQB,4,0.362,63.53,85
12_4JHW,1,0.29,1.39,72
13_4JHW,1,0.294,1.49,67
14_5IUS,0,0.000,0.00,29
15_7A8S,4,0.34,39.06,64
16_7BNY,5,0.438,7.59,79
17_7DGW,6,0.277,28.57,91
18_7MQQ,0,0.000,0.00,36
19_7MQQ,0,0.000,0.00,45
20_7UWL,0,0.000,0.00,34
21_1B73,3,0.392,3.06,98
22_1BCF,1,0.147,100.00,100
23_1MPY,4,0.457,4.00,100
24_1QY3,13,0.395,36.08,97
25_2RKX,2,0.317,48.75,80
26_3B5V,1,0.296,2.08,48
27_4XOJ,14,0.308,27.00,100
28_5YUI,16,0.379,22.22,99
29_6CPA,0,0.000,0.00,64
30_7UWL,0,0.000,0.00,15
